id,card_id,transaction_date,amount,transaction_type,description
44,43,2023-07-02 12:15:00,2300.00,Покупка,Спортзал
45,44,2019-02-14 17:30:00,120.00,Снятие наличных,Банкомат АкБарсБанк
46,45,2022-12-28 09:45:00,5100.50,Покупка,Электроника
47,46,2021-08-11 14:20:00,280.00,Покупка,Аптека
48,47,2020-01-24 11:35:00,7600.25,Покупка,Путешествие
49,48,2023-09-07 16:50:00,4500.00,Покупка,Ювелирные изделия
50,49,2024-04-21 10:05:00,190.00,Снятие наличных,Банкомат АкБарсБанк
51,50,2022-11-04 13:40:00,3300.00,Покупка,Ресторан
52,51,2021-03-18 15:55:00,680.75,Покупка,Супермаркет
53,52,2020-07-31 12:30:00,12500.00,Перевод,Инвестиции
54,53,2023-02-13 17:45:00,420.00,Покупка,Такси
55,54,2024-08-27 09:10:00,2900.00,Покупка,Одежда
56,55,2022-01-10 14:35:00,150.50,Покупка,Кофе
57,56,2021-05-24 11:20:00,5400.75,Покупка,Электроника
58,57,2020-09-06 16:45:00,200.00,Снятие наличных,Банкомат АкБарсБанк
59,58,2023-12-20 10:00:00,3800.00,Покупка,Мебель
60,59,2024-06-03 13:25:00,950.30,Покупка,АЗС
61,60,2022-10-16 15:40:00,6200.00,Покупка,Путешествие
62,61,2021-02-28 12:15:00,280.75,Покупка,Аптека
63,62,2020-04-12 17:30:00,11000.00,Перевод,Ипотека
64,63,2023-09-25 09:45:00,450.00,Покупка,Книги
65,64,2019-01-08 14:20:00,2700.50,Покупка,Обувь
66,65,2022-07-22 11:35:00,320.00,Покупка,Продукты
67,66,2021-11-04 16:50:00,4800.00,Покупка,Смартфон
68,67,2020-03-18 10:05:00,120.00,Снятие наличных,Банкомат АкБарсБанк
69,68,2023-08-01 13:40:00,3500.75,Покупка,Ювелирные изделия
70,69,2024-12-14 15:55:00,680.30,Покупка,Такси
71,70,2022-04-28 12:30:00,2400.00,Покупка,Спортивные товары
72,71,2021-08-11 17:45:00,180.00,Снятие наличных,Банкомат АкБарсБанк
73,72,2020-12-24 09:10:00,5900.50,Покупка,Компьютер
74,73,2023-05-08 14:35:00,350.00,Покупка,Канцтовары
75,74,2019-09-21 11:20:00,2100.25,Покупка,Билеты в кино
76,75,2022-02-04 16:45:00,4700.00,Покупка,Ремонт
77,76,2021-06-18 10:00:00,220.00,Снятие наличных,Банкомат АкБарсБанк
78,77,2020-10-31 13:25:00,3300.00,Покупка,Отель
79,78,2023-04-14 15:40:00,980.75,Покупка,Фастфуд
80,79,2024-11-27 12:15:00,2600.00,Покупка,Мебель
81,80,2022-05-11 17:30:00,190.50,Покупка,Общественный транспорт
82,81,2021-09-24 09:45:00,5100.00,Покупка,Бытовая техника
83,82,2020-02-06 14:20:00,270.00,Снятие наличных,Банкомат АкБарсБанк
84,83,2023-07-20 11:35:00,3900.75,Покупка,Одежда
85,84,2018-12-03 16:50:00,7200.00,Перевод,Ремонт квартиры
86,85,2022-10-16 10:05:00,380.30,Покупка,Кофе
87,86,2021-01-29 13:40:00,2500.00,Покупка,Спортзал
88,87,2020-05-13 15:55:00,140.00,Снятие наличных,Банкомат АкБарсБанк
89,88,2023-12-26 12:30:00,4400.50,Покупка,Электроника
90,89,2024-08-09 17:45:00,310.00,Покупка,Аптека
91,90,2022-03-23 09:10:00,6900.25,Покупка,Путешествие
92,91,2021-07-06 14:35:00,4200.00,Покупка,Ювелирные изделия
93,92,2020-11-19 11:20:00,210.00,Снятие наличных,Банкомат АкБарсБанк
94,93,2023-06-02 16:45:00,2800.00,Покупка,Ресторан
95,94,2019-10-15 10:00:00,750.75,Покупка,Супермаркет
96,95,2022-02-28 13:25:00,9800.00,Перевод,Инвестиции
97,96,2021-05-12 15:40:00,460.00,Покупка,Такси
98,97,2020-08-25 12:15:00,3200.00,Покупка,Одежда
99,98,2023-01-07 17:30:00,180.50,Покупка,Кофе
100,99,2024-09-20 09:45:00,5700.75,Покупка,Электроника
101,100,2022-04-04 14:20:00,230.00,Снятие наличных,Банкомат АкБарсБанк
102,101,2021-08-17 11:35:00,4100.00,Покупка,Мебель
103,102,2020-12-30 16:50:00,890.30,Покупка,АЗС
104,103,2023-07-13 10:05:00,5300.00,Покупка,Путешествие
105,104,2019-02-25 13:40:00,310.75,Покупка,Аптека
106,105,2022-11-08 15:55:00,10200.00,Перевод,Ипотека
107,106,2021-03-22 12:30:00,490.00,Покупка,Книги
108,107,2020-06-04 17:45:00,2900.50,Покупка,Обувь
109,108,2023-10-17 09:10:00,350.00,Покупка,Продукты
110,109,2024-04-30 14:35:00,5000.00,Покупка,Смартфон
111,110,2022-09-12 11:20:00,160.00,Снятие наличных,Банкомат АкБарсБанк
112,1,2021-12-26 16:45:00,3700.75,Покупка,Ювелирные изделия
113,2,2020-04-09 10:00:00,720.30,Покупка,Такси
114,3,2023-11-22 13:25:00,2700.00,Покупка,Спортивные товары
115,4,2018-06-05 15:40:00,200.00,Снятие наличных,Банкомат АкБарсБанк
116,5,2022-01-18 12:15:00,6100.50,Покупка,Компьютер
117,6,2021-05-02 17:30:00,390.00,Покупка,Канцтовары
118,7,2020-09-15 09:45:00,2300.25,Покупка,Билеты в кино
119,8,2023-02-28 14:20:00,4900.00,Покупка,Ремонт
120,9,2017-07-11 11:35:00,250.00,Снятие наличных,Банкомат АкБарсБанк
121,10,2022-12-24 16:50:00,3400.00,Покупка,Отель
122,11,2021-04-07 10:05:00,1020.75,Покупка,Фастфуд
123,12,2020-08-20 13:40:00,2800.00,Покупка,Мебель
124,13,2023-03-05 15:55:00,210.50,Покупка,Общественный транспорт
125,14,2019-12-18 12:30:00,5200.00,Покупка,Бытовая техника
126,15,2022-07-01 17:45:00,290.00,Снятие наличных,Банкомат АкБарсБанк
127,16,2021-10-14 09:10:00,4300.75,Покупка,Одежда
128,17,2020-02-26 14:35:00,7600.00,Перевод,Ремонт квартиры
129,18,2023-09-08 11:20:00,410.30,Покупка,Кофе
130,19,2024-01-21 16:45:00,2600.00,Покупка,Спортзал
